date,type,speed,miss
20180703,698,5.0,31
20180703,731,5.1,28
20180703,766,5.3,19
20180704,714,5.1,43
20180704,715,5.1,26
20180705,683,5.0,42
20180709,705,5.1,31
20180709,706,5.1,32
20180709,703,5.0,32
20180710,657,5.0,47
20180710,792,5.3,13
20180711,677,5.0,38
20180711,713,5.0,24
20180711,711,5.2,35
20180711,640,4.6,26
20180711,667,4.7,18
20180712,777,5.2,31
20180712,841,5.4,24
20180712,770,5.5,20
20180713,747,5.1,52
20180713,744,5.1,26
20180713,738,5.3,26
20180713,728,5.2,22
20180714,668,4.8,35
20180714,720,5.2,37
20180714,770,5.2,32
20180714,791,5.1,4
20180714,805,5.4,25
20180714,810,5.4,21
20180714,856,5.6,17
20180714,722,5.1,31
20180715,799,5.3,26
